Kind,Name,AvgLineCode,Cyclomatic,PercentLackOfCohesionModified,PercentLackOfCohesion,SumCyclomatic,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,TestBaseKeyedPoolableObjectFactory.java,4,,,,3,1,1,1,1,4,0,1,,,,2,0,0,3,,3,3,0,3,,0,0,0,3,,49,6,25,14,7,22,,,,11,16,10,6,,,,,1,1,1,1,,,0,,0.88,3,3,3
File,TestBaseObjectPool.java,12,,,,38,2,2,2,1,13,0,1,,,,2,0,0,17,,17,17,1,17,,0,0,5,12,,294,25,237,52,158,42,,,,129,170,38,132,,,,,6,6,6,3,,,2,,0.18,38,38,19
File,TestBasePoolableObjectFactory.java,4,,,,3,1,1,1,1,4,0,1,,,,2,0,0,3,,3,3,0,3,,0,0,0,3,,48,6,24,13,7,22,,,,11,16,10,6,,,,,1,1,1,1,,,0,,0.92,3,3,3
File,TestDefaultPooledObject.java,24,,,,12,4,4,4,3,25,0,1,,,,3,0,0,3,,3,3,0,3,,0,0,0,3,,87,5,62,24,35,20,,,,36,49,26,23,,,,,5,5,5,5,,,2,,0.32,12,12,9
File,TestDefaultPooledObjectInfo.java,16,,,,4,1,1,1,1,23,7,0,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,128,35,76,32,52,17,,,,51,60,28,32,,,,,1,1,1,1,,,1,,0.22,4,4,4
File,TestEvictionConfig.java,10,,,,1,1,1,1,1,13,3,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,43,8,16,7,8,19,,,,11,13,6,7,,,,,1,1,1,1,,,0,,1.19,1,1,1
File,TestEvictionTimer.java,15,,,,3,1,1,1,1,24,3,5,,,,2,0,0,3,,3,3,0,3,,0,0,0,3,,105,15,55,23,34,35,,,,38,43,23,20,,,,,1,1,1,1,,,0,,0.64,3,3,3
File,TestGenericKeyedObjectPool.java,15,,,,259,2,2,2,1,19,1,3,,,,13,0,4,104,,104,104,44,104,,2,5,6,91,,2346,241,1782,475,1254,379,,,,1213,1492,439,1053,,,,,20,20,26,5,,,6,,0.21,259,269,108
File,TestGenericObjectPool.java,12,,,,354,2,2,2,1,15,0,2,,,,21,0,1,168,,168,168,49,168,,0,11,5,152,,2948,347,2234,570,1450,401,,,,1332,1730,507,1223,,,,,17,17,17,5,,,4,,0.18,354,360,172
File,TestGenericObjectPoolClassLoaders.java,11,,,,10,1,1,2,1,12,1,0,,,,3,0,1,6,,6,6,2,6,,2,0,0,4,,128,21,90,39,48,17,,,,46,60,28,32,,,,,3,3,5,1,,,2,,0.19,10,12,6
File,TestGenericObjectPoolFactoryCreateFailure.java,9,,,,14,1,1,1,1,11,1,0,,,,3,2,0,8,,8,6,4,8,,0,3,0,5,,143,20,99,35,54,24,,,,54,72,30,42,,,,,3,3,3,1,,,2,,0.24,14,14,8
File,TestKeyedObjectPool.java,13,,,,76,1,1,1,1,16,1,1,,,,3,0,1,40,,46,46,10,46,,0,2,6,38,,802,98,616,150,436,110,,,,404,484,124,360,,,,,6,6,6,3,,,2,,0.18,76,76,42
